monthly gold prices (USD). Sources: goldprices.com for 1968-1996 and kitco.com for 1997 on.,
14-05-94,381.26
14-06-94,385.64
14-07-94,385.49
14-08-94,380.35
14-09-94,391.58
14-10-94,389.77
14-11-94,384.39
14-12-94,379.29
14-01-95,378.55
14-02-95,376.64
14-03-95,382.12
14-04-95,391.03
14-05-95,385.12
14-06-95,387.56
14-07-95,386.23
14-08-95,383.81
14-09-95,383.05
14-10-95,383.14
14-11-95,385.3
14-12-95,387.44
14-01-96,400.27
14-02-96,404.79
14-03-96,396.25
14-04-96,392.83
14-05-96,391.86
14-06-96,385.27
14-07-96,383.47
14-08-96,387.46
14-09-96,383.14
14-10-96,381.07
14-11-96,377.85
14-12-96,369
14-01-97,354.11
14-02-97,346.58
14-03-97,351.81
14-04-97,344.47
14-05-97,343.94
14-06-97,340.76
14-07-97,324.1
14-08-97,324.01
14-09-97,322.82
14-10-97,324.87
14-11-97,306.04
14-12-97,289.11
14-01-98,289.15
14-02-98,297.49
14-03-98,295.94
14-04-98,308.29
14-05-98,299.1
14-06-98,292.32
14-07-98,292.87
14-08-98,284.11
14-09-98,288.98
14-10-98,296.09
14-11-98,294.66
14-12-98,291.18
14-01-99,287.07
14-02-99,287.22
14-03-99,285.96
14-04-99,282.62
14-05-99,276.44
14-06-99,261.31
14-07-99,256.08
14-08-99,256.7
14-09-99,264.74
14-10-99,310.72
14-11-99,293.18
14-12-99,283.31
14-01-00,284.3
14-02-00,299.94
14-03-00,286.39
14-04-00,279.7
14-05-00,275.18
14-06-00,285.73
14-07-00,281.59
14-08-00,274.74
14-09-00,273.68
14-10-00,270.08
14-11-00,266.01
14-12-00,271.64
14-01-01,265.49
14-02-01,261.87
14-03-01,263.03
14-04-01,260.48
14-05-01,272.35
14-06-01,270.23
14-07-01,267.53
14-08-01,272.39
14-09-01,283.42
14-10-01,283.06
14-11-01,276.16
14-12-01,275.98
14-01-02,282.42
14-02-02,295.5
14-03-02,294.06
14-04-02,302.68
14-05-02,314.49
14-06-02,321.18
14-07-02,313.41
14-08-02,310.25
14-09-02,319.14
14-10-02,316.56
14-11-02,319.07
14-12-02,333.12
14-01-03,358.99
14-02-03,358.97
14-03-03,340.55
14-04-03,328.18
14-05-03,355.68
14-06-03,356.35
14-07-03,351.02
14-08-03,359.77
14-09-03,378.95
14-10-03,378.92
14-11-03,389.91
14-12-03,407.63
14-01-04,412.21
14-02-04,404.88
14-03-04,406.67
14-04-04,403.26
14-05-04,383.78
14-06-04,392.37
14-07-04,398.09
14-08-04,400.51
14-09-04,405.28
14-10-04,420.46
14-11-04,439.3
14-12-04,442.09
14-01-05,423.68
14-02-05,423.35
14-03-05,434.32
14-04-05,429.23
14-05-05,421.87
14-06-05,430.66
14-07-05,424.48
14-08-05,437.93
14-09-05,456.04
14-10-05,469.9
14-11-05,476.68
14-12-05,509.92
14-01-06,549.86
14-02-06,555
14-03-06,557.09
14-04-06,610.65
14-05-06,676.51
14-06-06,596.15
14-07-06,633.78
14-08-06,632.59
14-09-06,598.19
14-10-06,585.78
14-11-06,627.83
14-12-06,629.57
14-01-07,631.17
14-02-07,664.75
14-03-07,654.9
14-04-07,679.37
14-05-07,666.86
14-06-07,655.49
14-07-07,665.3
14-08-07,665.41
14-09-07,712.65
14-10-07,754.6
14-11-07,806.25
14-12-07,805.33
14-01-08,889.6
14-02-08,922.3
14-03-08,968.43
14-04-08,909.7
14-05-08,888.66
14-06-08,889.49
14-07-08,939.77
14-08-08,839.03
14-09-08,829.93
14-10-08,806.62
14-11-08,760.86
14-12-08,819.4
14-01-09,858.69
14-02-09,943.16
14-03-09,924.27
14-04-09,890.2
14-05-09,928.64
14-06-09,945.67
14-07-09,934.23
14-08-09,949.38
14-09-09,996.59
14-10-09,1043.16
14-11-09,1127.04
14-12-09,1131.82
14-01-10,1117.96
14-02-10,1095.41
14-03-10,1113.34
14-04-10,1148.69
14-05-10,1205.43
14-06-10,1232.92
14-07-10,1192.97
14-08-10,1215.81
14-09-10,1270.98
14-10-10,1342.02
14-11-10,1369.89
14-12-10,1391.01
14-01-11,1356.4
14-02-11,1372.73
14-03-11,1424.01
14-04-11,1473.81
14-05-11,1510.44
14-06-11,1528.66
14-07-11,1572.81
14-08-11,1755.81
14-09-11,1771.88
14-10-11,1665.21
14-11-11,1738.98
14-12-11,1646.18
14-01-12,1656.12
14-02-12,1742.62
14-03-12,1673.77
14-04-12,1650.07
14-05-12,1585.5
14-06-12,1596.7
14-07-12,1593.91
14-08-12,1626.03
14-09-12,1744.45
14-10-12,1747.01
14-11-12,1721.14
14-12-12,1685.87
14-01-13,1670.95
14-02-13,1627.59
14-03-13,1592.86
14-04-13,1485.08
14-05-13,1413.5
14-06-13,1342.36
14-07-13,1286.72
14-08-13,1347.1
14-09-13,1348.8
14-10-13,1316.18
14-11-13,1275.82
14-12-13,1222.76
14-01-14,1244.8
14-02-14,1300.98
14-03-14,1336.08
14-04-14,1299
14-05-14,1287.53
14-06-14,1279.1
14-07-14,1310.97
14-08-14,1295.99
14-09-14,1238.82
14-10-14,1222.49
14-11-14,1176.3
14-12-14,1200.94
14-01-15,1251.85
14-02-15,1227.19
14-03-15,1178.63
14-04-15,1197.91
14-05-15,1199.05
14-06-15,1181.5
14-07-15,1130.04
14-08-15,1117.48
14-09-15,1124.53
14-10-15,1159.25
14-11-15,1085.7
14-12-15,1068.14
14-01-16,1097.38
14-02-16,1199.91
14-03-16,1246.34
14-04-16,1242.26
14-05-16,1259.4
14-06-16,1276.4
14-07-16,1337.33
14-08-16,1341.09
14-09-16,1326.03
14-10-16,1266.71
14-11-16,1235.98
14-12-16,1150.77
