bonds
1
0.97443
0.96422
1.00493
1.03261
1.05327
1.05769
1.07912
1.05826
1.04637
1.05077
1.03139
1.03573
1.03893
1.02672
1.00752
1.01068
1.02127
1.03969
1.03533
1.03106
1.05754
1.03021
1.04876
1.05219
1.03497
1.04048
1.04602
1.07477
1.11321
1.11911
1.12503
1.13097
1.16337
1.20693
1.18484
1.17274
1.18102
1.18933
1.21638
1.23453
1.2732
1.27178
1.29091
1.29981
1.3302
1.35037
1.35958
1.36883
1.3788
1.38881
1.3874
1.43262
1.46756
1.47805
1.47597
1.49914
1.50974
1.53347
1.55766
1.5823
1.5898
1.59732
1.61905
1.68637
1.74226
1.75043
1.74219
1.73412
1.71054
1.70302
1.68064
1.65908
1.71106
1.79894
1.75761
1.73383
1.84004
1.83085
1.91029
1.93747
1.94594
1.99351
2.0022
2.07311
2.10393
2.15816
2.19095
2.2739
2.33575
2.31961
2.30384
2.31387
2.35004
2.38703
2.45313
2.43541
2.41939
2.45903
2.49962
2.51163
2.55336
2.53574
2.54783
2.47366
2.35319
2.2449
2.18916
2.1366
2.14835
2.13975
2.2358
2.31607
2.37665
2.38948
2.40234
2.39057
2.40334
2.39172
2.38036
2.41711
2.40162
2.41032
2.3951
2.42778
2.43653
2.42111
2.38263
2.30179
2.28865
2.31832
2.3266
2.33491
2.3201
2.32695
2.31239
2.29815
2.28416
2.31173
2.29766
2.36846
2.39766
2.42743
2.45778
2.46504
2.44936
2.48032
2.51191
2.54415
2.62856
2.69051
2.69882
2.73507
2.74351
2.78063
2.76048
2.76899
2.77924
2.78951
2.85872
2.93096
2.94173
2.98459
2.99551
3.0395
3.08449
3.16606
3.2141
3.22576
3.20174
3.28917
3.26418
3.35414
3.44844
3.42073
3.43409
3.48901
3.50257
3.47429
3.40662
3.50117
3.50737
3.55595
3.60577
3.70258
3.75626
3.71608
3.67694
3.68374
3.69059
3.69749
3.65927
3.57891
3.54353
3.55032
3.55715
3.56404
3.6135
3.66419
3.62771
3.67868
3.64213
3.60649
3.53068
3.49762
3.55396
3.57012
3.62801
3.68727
3.74797
3.72051
3.73716
3.75384
3.7267
3.70019
3.71655
3.86625
3.92489
3.98499
3.99726
4.10979
4.12242
4.13508
4.14778
4.10914
4.12173
4.13436
4.09644
4.2117
4.21789
4.22415
4.23049
4.1846
4.191
4.19748
4.05388
4.0125
4.01888
4.12233
4.12901
4.1862
4.14881
4.11234
4.07676
4.13829
4.25257
4.31862
4.3322
4.40014
4.41396
4.48388
4.49796
4.62927
4.63841
4.77155
4.84569
4.85542
4.86522
4.7468
4.69471
4.70434
4.71405
4.60423
4.55616
4.40068
4.36336
4.48525
4.55633
4.62922
4.7643
4.90653
5.12577
4.94037
4.89298
5.04071
5.12635
5.28681
5.38657
5.56877
5.59488
5.62103
5.64722
5.67344
5.53915
5.48742
5.67016
5.69615
5.8051
5.83154
5.84273
5.854
5.62097
5.55478
5.49046
5.57664
5.6653
5.67658
5.68794
5.69938
5.79134
5.88601
5.9974
6.02353
6.13867
6.25728
6.37952
6.40699
6.43449
6.46204
6.29874
6.14482
6.17088
6.37925
6.39953
6.41985
